
2024/09/20 (05:30:09) | ===> btop++ v.1.3.2
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get device name
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/20 (05:30:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/22 (08:46:51) | ===> btop++ v.1.3.2
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get device name
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/22 (08:46:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/24 (12:34:16) | ===> btop++ v.1.4.0
2024/09/24 (12:34:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/24 (12:34:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/24 (12:34:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/24 (12:34:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/24 (12:34:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
